family_households,nonfamily_households,children_num,area,people_num,household_num,average_household_size,region
7252,10235,6226,BK0101,37213,17487,2.13,BK
12201,14754,14809,BK0102,63079,26955,2.34,BK
8711,1902,26853,BK0103,46758,10613,4.41,BK
11203,11462,11856,BK0104,52394,22665,2.31,BK
5389,6468,4499,BK0201,22768,11857,1.92,BK
8303,8916,8544,BK0202,37760,17219,2.19,BK
6593,7999,8777,BK0203,33351,14592,2.29,BK
5047,7679,4728,BK0204,25521,12726,2.01,BK
16452,15904,27465,BK0301,88210,32356,2.73,BK
19554,15379,24970,BK0302,90712,34933,2.6,BK
9192,11018,11595,BK0401,54144,20210,2.68,BK
12009,9751,17574,BK0402,62358,21760,2.87,BK
9717,3581,14854,BK0501,42544,13298,3.2,BK
9749,4146,16447,BK0502,43648,13895,3.14,BK
11502,7456,17391,BK0503,51321,18958,2.71,BK
4063,3782,4200,BK0504,15777,7845,2.01,BK
10362,5122,18216,BK0505,48079,15484,3.11,BK
14497,11223,17347,BK0601,62554,25720,2.43,BK
13947,10927,14612,BK0602,59806,24874,2.4,BK
7164,3598,7426,BK0701,26948,10762,2.5,BK
10174,6280,15086,BK0702,50791,16454,3.09,BK
9397,3707,13631,BK0703,45976,13104,3.51,BK
5137,5354,4991,BK0801,23936,10491,2.28,BK
17776,18287,22068,BK0802,85205,36063,2.36,BK
11271,7999,16866,BK0901,51034,19270,2.65,BK
10147,9607,11827,BK0902,46839,19754,2.37,BK
20142,14621,23995,BK1001,85347,34763,2.46,BK
10995,3403,13185,BK1002,43304,14398,3.01,BK
25177,9026,30666,BK1101,102182,34203,2.99,BK
7925,3331,10192,BK1102,33568,11256,2.98,BK
14229,4972,18941,BK1103,60008,19201,3.13,BK
6816,2122,9812,BK1201,30136,8938,3.37,BK
16192,3633,45055,BK1202,83942,19825,4.23,BK
8671,5409,12933,BK1203,39107,14080,2.78,BK
8458,3139,15940,BK1204,38244,11597,3.3,BK
7237,3485,8619,BK1301,29258,10722,2.73,BK
13137,7825,15380,BK1302,50572,20962,2.41,BK
7968,5417,7725,BK1303,31006,13385,2.32,BK
15388,10208,20843,BK1401,68811,25596,2.69,BK
9797,5986,12992,BK1402,41632,15783,2.64,BK
12265,6091,20381,BK1403,53483,18356,2.91,BK
13010,5026,19034,BK1501,53325,18036,2.96,BK
10335,4939,13520,BK1502,42711,15274,2.8,BK
17941,8551,19465,BK1503,67158,26492,2.54,BK
8180,6712,12241,BK1601,38910,14892,2.61,BK
9734,10372,14027,BK1602,44401,20106,2.21,BK
10363,6324,13418,BK1701,44165,16687,2.65,BK
9013,3218,11501,BK1702,35906,12231,2.94,BK
9802,4691,12906,BK1703,40059,14493,2.76,BK
8831,5868,11441,BK1704,36838,14699,2.51,BK
17517,6335,24581,BK1801,71439,23852,3.0,BK
12125,4114,14975,BK1802,46619,16239,2.87,BK
21473,7923,31179,BK1803,88896,29396,3.02,BK
12469,7976,20928,BX0101,53605,20445,2.62,BX
10152,5110,17921,BX0102,41876,15262,2.74,BX
3173,1703,5520,BX0201,13363,4876,2.74,BX
8891,5382,14401,BX0202,38992,14273,2.73,BX
7980,5085,13719,BX0301,34471,13065,2.64,BX
5681,2719,10464,BX0302,23362,8400,2.78,BX
7007,3649,10629,BX0303,28591,10656,2.68,BX
14897,10897,22851,BX0401,67514,25794,2.62,BX
7784,3991,12776,BX0402,32237,11775,2.74,BX
12155,5244,20632,BX0403,51767,17399,2.98,BX
12681,5936,19828,BX0501,54201,18617,2.91,BX
10840,5842,18086,BX0502,47271,16682,2.83,BX
7820,2829,13371,BX0503,32879,10649,3.09,BX
4373,2264,7870,BX0601,18242,6637,2.75,BX
7191,3966,12837,BX0602,30751,11157,2.76,BX
7052,4661,12481,BX0603,32101,11713,2.74,BX
10165,5905,16450,BX0701,45806,16070,2.85,BX
13553,6996,19655,BX0702,56623,20549,2.76,BX
8834,5881,14969,BX0703,40547,14715,2.76,BX
7825,5589,10991,BX0801,35350,13414,2.64,BX
6380,3585,9067,BX0802,26244,9965,2.63,BX
10452,9342,10910,BX0803,42444,19794,2.14,BX
16406,7626,24186,BX0901,67431,24032,2.81,BX
8962,4336,13192,BX0902,36092,13298,2.71,BX
8756,3940,13214,BX0903,39204,12696,3.09,BX
7814,4917,10046,BX0904,30775,12731,2.42,BX
3481,1773,5389,BX1001,15710,5254,2.99,BX
11451,5676,15374,BX1002,47706,17127,2.79,BX
7064,4306,7849,BX1003,27769,11370,2.44,BX
8751,7835,9425,BX1004,36126,16586,2.18,BX
7279,3819,9928,BX1101,30630,11098,2.76,BX
5656,2838,6962,BX1102,22246,8494,2.62,BX
6830,2379,9650,BX1103,28587,9209,3.1,BX
8506,6199,11133,BX1104,35617,14705,2.42,BX
14279,6860,23139,BX1201,61406,21139,2.9,BX
13525,4322,19858,BX1202,56147,17847,3.15,BX
11583,6209,14865,BX1203,48894,17792,2.75,BX
9509,13428,8151,MN0101,47313,22937,2.06,MN
5425,3980,5014,MN0102,21349,9405,2.27,MN
4824,7144,3446,MN0201,22857,11968,1.91,MN
5354,10376,3673,MN0202,28299,15730,1.8,MN
5292,13690,3299,MN0203,31210,18982,1.64,MN
10293,7613,9911,MN0301,41068,17906,2.29,MN
8920,12059,9562,MN0302,43716,20979,2.08,MN
9798,23561,10524,MN0303,64096,33359,1.92,MN
10603,25522,7928,MN0401,61666,36125,1.71,MN
9135,23902,5350,MN0402,54307,33037,1.64,MN
4737,10051,3310,MN0501,25133,14788,1.7,MN
3916,8421,2690,MN0502,20803,12337,1.69,MN
4774,5801,4376,MN0601,22327,10575,2.11,MN
4146,9568,3166,MN0602,24352,13714,1.78,MN
9625,21154,6110,MN0603,55720,30779,1.81,MN
9176,14089,4402,MN0604,40564,23265,1.74,MN
14692,19960,11681,MN0701,63333,34652,1.83,MN
22680,25335,22745,MN0702,101410,48015,2.11,MN
10951,12093,11842,MN0703,51812,23044,2.25,MN
17759,23688,15514,MN0801,79965,41447,1.93,MN
13803,12755,11863,MN0802,54459,26558,2.05,MN
17803,24020,13829,MN0803,79770,41823,1.91,MN
5516,6935,5546,MN0901,27742,12451,2.23,MN
4178,4266,6571,MN0902,23432,8444,2.77,MN
9593,9260,13054,MN0903,52793,18853,2.8,MN
9616,10461,14067,MN1001,49448,20077,2.46,MN
17232,18102,25365,MN1002,81235,35334,2.3,MN
12523,13086,16432,MN1101,56741,25609,2.22,MN
13049,14265,20212,MN1102,62813,27314,2.3,MN
14555,14080,20105,MN1201,81162,28635,2.83,MN
16413,13156,22904,MN1202,81644,29569,2.76,MN
8764,6765,12874,MN1203,42881,15529,2.76,MN
10642,8752,10926,QN0101,48448,19394,2.5,QN
2655,3173,2994,QN0102,13226,5828,2.27,QN
9341,12788,8295,QN0103,47303,22129,2.14,QN
7939,7502,8066,QN0104,36712,15441,2.38,QN
5564,6272,6846,QN0105,25849,11836,2.18,QN
5791,5557,4657,QN0201,24040,11348,2.12,QN
10973,9862,12143,QN0202,49587,20835,2.38,QN
10976,6791,12332,QN0203,48457,17767,2.73,QN
21908,12245,25883,QN0301,93342,34153,2.73,QN
4947,2019,7062,QN0302,23918,6966,3.43,QN
7795,1675,13551,QN0303,42604,9470,4.5,QN
22342,9597,30347,QN0401,103372,31939,3.24,QN
14993,5165,22386,QN0402,73223,20158,3.63,QN
10319,3973,14934,QN0501,43770,14292,3.06,QN
15991,8695,19821,QN0502,73438,24686,2.97,QN
8859,3741,11101,QN0503,36185,12600,2.87,QN
9352,3632,11155,QN0504,36740,12984,2.83,QN
7553,5210,7674,QN0601,30247,12763,2.37,QN
23726,16557,23683,QN0602,92063,40283,2.29,QN
7520,1809,10452,QN0701,30814,9329,3.3,QN
7890,3106,9422,QN0702,30923,10996,2.81,QN
5818,4321,6206,QN0703,23735,10139,2.34,QN
13659,5884,15768,QN0704,55170,19543,2.82,QN
7251,3255,7297,QN0705,30664,10506,2.92,QN
4582,1301,6217,QN0706,20727,5883,3.52,QN
15030,9096,13589,QN0707,58477,24126,2.42,QN
8811,3581,11905,QN0801,34295,12392,2.77,QN
8360,4247,10122,QN0802,34133,12607,2.71,QN
5830,2069,6809,QN0803,22095,7899,2.8,QN
5841,3062,7216,QN0804,24244,8903,2.72,QN
9392,4559,12433,QN0805,40039,13951,2.87,QN
5250,4757,6269,QN0901,23967,10007,2.4,QN
7950,2408,11514,QN0902,35208,10358,3.4,QN
5051,1098,6947,QN0903,23412,6149,3.81,QN
5902,1270,9008,QN0904,26366,7172,3.68,QN
9167,2299,12910,QN0905,41949,11466,3.66,QN
18918,3275,28449,QN1001,86187,22193,3.88,QN
5967,1598,8748,QN1002,25886,7565,3.42,QN
7685,3831,9424,QN1003,30891,11516,2.68,QN
9118,3394,10813,QN1101,35426,12512,2.83,QN
9364,3205,10829,QN1102,36130,12569,2.87,QN
7105,3082,7306,QN1103,26391,10187,2.59,QN
6667,3279,8113,QN1104,27348,9946,2.75,QN
12780,4176,19226,QN1201,57523,16956,3.39,QN
9334,2634,16177,QN1202,45497,11968,3.8,QN
9706,3129,15329,QN1203,44250,12835,3.45,QN
7649,4471,9880,QN1204,31426,12120,2.59,QN
11808,3938,18129,QN1205,55030,15746,3.49,QN
5088,1695,7994,QN1206,22836,6783,3.37,QN
5782,3259,6152,QN1301,24505,9041,2.71,QN
6730,1546,8644,QN1302,27466,8276,3.32,QN
13463,3372,19687,QN1303,58807,16835,3.49,QN
5011,1489,6782,QN1304,21643,6500,3.33,QN
6643,2016,9656,QN1305,28884,8659,3.34,QN
4760,1463,7521,QN1306,22211,6223,3.57,QN
6153,1902,9700,QN1307,27063,8055,3.36,QN
13338,6300,25916,QN1401,62872,19638,3.2,QN
10080,5310,15656,QN1402,42939,15390,2.79,QN
5956,3667,7497,QN1403,24797,9623,2.58,QN
3824,3281,4436,SI0101,17365,7105,2.44,SI
3453,2355,4813,SI0102,15584,5808,2.68,SI
5736,3351,7266,SI0103,23962,9087,2.64,SI
8858,3794,11368,SI0104,34020,12652,2.69,SI
7842,2872,10677,SI0105,31856,10714,2.97,SI
4322,1691,7343,SI0106,19517,6013,3.25,SI
7963,2601,12571,SI0107,33719,10564,3.19,SI
9634,3278,11935,SI0201,36514,12912,2.83,SI
7036,2661,9795,SI0202,28685,9697,2.96,SI
8193,2437,11834,SI0203,31323,10630,2.95,SI
11474,3763,14422,SI0204,43607,15237,2.86,SI
5593,2391,6964,SI0301,21283,7984,2.67,SI
15266,4296,19625,SI0302,55906,19562,2.86,SI
8184,2578,11301,SI0303,31617,10762,2.94,SI
11441,3075,15780,SI0304,43991,14516,3.03,SI
4399,1644,5834,SI0305,16869,6043,2.79,SI
0,0,0,QN0151,0,0,,QN
0,0,0,BK0261,0,0,,BK
242,43,566,BK1061,1090,285,3.82,BK
0,0,0,BX1161,0,0,,BX
0,0,0,MN0661,0,0,,MN
0,4,0,QN0161,4,4,1.0,QN
0,0,0,QN0261,0,0,,QN
0,0,0,QN0761,0,0,,QN
162,5,168,SI9561,485,167,2.9,SI
0,0,0,BK0471,0,0,,BK
0,0,0,BK0571,0,0,,BK
0,0,0,BK0771,0,0,,BK
4,0,10,BK1771,24,4,6.0,BK
0,0,0,BX1071,0,0,,BX
0,0,0,BX1271,0,0,,BX
0,0,0,QN0171,0,0,,QN
0,0,0,QN0271,0,0,,QN
0,14,0,QN0571,14,14,1.0,QN
0,0,0,QN0572,0,0,,QN
0,0,0,QN0573,0,0,,QN
8,0,4,QN0574,20,8,2.5,QN
0,0,0,QN0871,0,0,,QN
0,0,0,QN1371,0,0,,QN
0,0,0,QN8081,0,0,,QN
0,0,0,QN8381,0,0,,QN
0,0,0,BK0891,0,0,,BK
0,0,0,BK1091,0,0,,BK
0,0,0,BK1391,0,0,,BK
0,0,0,BK1891,0,0,,BK
0,0,0,BK1892,0,0,,BK
0,0,0,BK1893,0,0,,BK
0,0,0,BK5591,0,0,,BK
12,0,0,BK5691,20,12,1.67,BK
0,0,0,BK5692,0,0,,BK
0,0,0,BK5693,0,0,,BK
0,0,0,BX0291,0,0,,BX
0,0,0,BX0391,0,0,,BX
0,0,0,BX0491,0,0,,BX
0,0,0,BX0492,0,0,,BX
0,0,0,BX0991,0,0,,BX
0,0,0,BX1091,0,0,,BX
0,0,0,BX2691,0,0,,BX
5,0,0,BX2791,10,5,2.0,BX
17,6,13,BX2891,52,23,2.26,BX
0,0,0,MN0191,0,0,,MN
0,0,0,MN1191,0,0,,MN
0,0,0,MN1291,0,0,,MN
0,0,0,MN1292,0,0,,MN
0,0,0,MN6491,0,0,,MN
0,0,0,QN0191,0,0,,QN
0,0,0,QN0791,0,0,,QN
0,0,0,QN0891,0,0,,QN
0,0,0,QN1091,0,0,,QN
0,0,0,QN1191,0,0,,QN
0,0,0,QN1491,0,0,,QN
0,0,0,QN8191,0,0,,QN
0,0,0,QN8291,0,0,,QN
0,0,0,QN8491,0,0,,QN
4,4,5,QN8492,13,8,1.63,QN
0,0,0,SI0191,0,0,,SI
0,0,0,SI0291,0,0,,SI
9,0,5,SI0391,23,9,2.56,SI
0,0,0,SI9591,0,0,,SI
52,14,90,SI9592,260,66,3.94,SI
0,0,0,SI9593,0,0,,SI
